name,ring,quadrant,isNew,description
Kotlin,adopt,languages & frameworks,FALSE,
Firebase,adopt,languages & frameworks,FALSE,
Android JetPack,adopt,languages & frameworks,TRUE,
AR Technology,adopt,languages & frameworks,TRUE,
Virtual Reality,adopt,languages & frameworks,TRUE,
Android Studio,adopt,tools,FALSE,
XCode,adopt,tools,FALSE,
Visual Studio,adopt,tools,FALSE,
Github,adopt,tools,FALSE,
Charles,adopt,tools,FALSE,
JIRA,adopt,tools,FALSE,
Analytics,adopt,techniques,FALSE,
CICD,adopt,techniques,FALSE,
MVVM Architecture,adopt,techniques,FALSE,
Peer reviews,adopt,techniques,FALSE,
Traces,adopt,techniques,FALSE,
Kotlin Multi platform,assess,languages & frameworks,TRUE,
XCUITest,assess,tools,FALSE,
"Appium (ui-automation, will confirm this)",assess,tools,FALSE,
Sonar,assess,tools,FALSE,
Espresso,assess,tools,FALSE,
Branch.io,assess,platforms,FALSE,
"Client-Side Error Logging (newrelic, fdp, sentry, firebase)",assess,techniques,FALSE,
PWA,Hold,languages & frameworks,FALSE,
Flutter,Hold,languages & frameworks,FALSE,Confluence : Flutter Evaluation
Jetpack Compose,trial,languages & frameworks,TRUE,
Hold,trial,languages & frameworks,FALSE,
JUnit,trial,tools,FALSE,
